"IMXCODE","INKCODE","WEIGHT","REGDATE","REGUSER","EDITDATE","EDITUSER"
"DS214A","020220009","10","2019/09/20 13:39:18","0114",\N,\N
"DS214A","020220014","1000","2019/09/20 13:39:18","0114",\N,\N
"DS214A","020220016","40","2019/09/20 13:39:18","0114",\N,\N
"DS215","020220008","300","2019/09/04 17:20:16","0114",\N,\N
"DS215","020220009","20","2019/09/04 17:20:16","0114",\N,\N
"DS215","020220014","1000","2019/09/04 17:20:16","0114",\N,\N
"DS215A","020220008","1500","2019/09/20 13:38:09","0114",\N,\N
"DS215A","020220009","20","2019/09/20 13:38:09","0114",\N,\N
"DS215A","020220014","1000","2019/09/20 13:38:09","0114",\N,\N
"DS216","020220008","300","2019/09/04 17:19:37","0114",\N,\N
"DS216","020220009","100","2019/09/04 17:19:37","0114",\N,\N
"DS216","020220014","1000","2019/09/04 17:19:37","0114",\N,\N
"DS2169","020220013","1000","2020/06/09 09:09:29","0114",\N,\N
"DS2169","020220015","250","2020/06/09 09:09:29","0114",\N,\N
"DS2169","020220056","1000","2020/06/09 09:09:29","0114",\N,\N
"DS216A","020220008","300","2019/09/20 13:37:14","0114",\N,\N
"DS216A","020220009","100","2019/09/20 13:37:14","0114",\N,\N
"DS216A","020220014","1000","2019/09/20 13:37:14","0114",\N,\N
"DS216A","020220025","200","2019/09/20 13:37:14","0114",\N,\N
"DS217","020120001","1412","2019/10/10 17:02:30","0114",\N,\N
"DS217","020120007","12","2019/10/10 17:02:30","0114",\N,\N
"DS217","020120015","490","2019/10/10 17:02:30","0114",\N,\N
"DS217","020120037","1000","2019/10/10 17:02:30","0114",\N,\N
"DS217UV","020220008","250","2019/10/10 17:04:17","0114",\N,\N
"DS217UV","020220009","12","2019/10/10 17:04:17","0114",\N,\N
"DS217UV","020220014","60","2019/10/10 17:04:17","0114",\N,\N
"DS217UV","020220016","30","2019/10/10 17:04:17","0114",\N,\N
"DS217UV","020220025","2000","2019/10/10 17:04:17","0114",\N,\N
"DS218","020220013","200","2019/10/16 16:41:47","0114",\N,\N
"DS218","020220021","8","2019/10/16 16:41:47","0114",\N,\N
"DS218","020220022","4","2019/10/16 16:41:47","0114",\N,\N
"DS218","020220025","1000","2019/10/16 16:41:47","0114",\N,\N
"DS219","020220008","1000","2019/10/25 17:56:35","0114",\N,\N
"DS219","020220009","20","2019/10/25 17:56:35","0114",\N,\N
"DS219","020220014","240","2019/10/25 17:56:35","0114",\N,\N
"DS2191","020120007","600","2020/03/03 08:54:20","0114",\N,\N
"DS2191","020120014","45","2020/03/03 08:54:20","0114",\N,\N
"DS2191","020120015","15","2020/03/03 08:54:20","0114",\N,\N
"DS2191","020120037","2000","2020/03/03 08:54:20","0114",\N,\N
"DS2196","020220014","6","2019/06/05 15:33:48","0114","2019/06/05 16:20:21","0114"
"DS2196","020220015","6","2019/06/05 15:33:48","0114","2019/06/05 16:20:21","0114"
"DS2196","020220025","2000","2019/06/05 15:33:48","0114","2019/06/05 16:20:21","0114"
"DS221","020120002","60","2019/07/30 11:40:01","0114",\N,\N
"DS221","020120007","6","2019/07/30 11:40:01","0114",\N,\N
"DS221","020120014","500","2019/07/30 11:40:01","0114",\N,\N
"DS221","020120021","570","2019/07/30 11:40:01","0114",\N,\N
"DS221","020120037","100","2019/07/30 11:40:01","0114",\N,\N
"DS222","020220009","90","2019/12/03 16:26:44","0114",\N,\N
"DS222","020220014","1330","2019/12/03 16:26:44","0114",\N,\N
"DS222","020220016","640","2019/12/03 16:26:44","0114",\N,\N
"DS224","020120015","124","2020/02/07 15:23:59","0114",\N,\N
"DS224","020120021","232","2020/02/07 15:23:59","0114",\N,\N
"DS224","020120037","3000","2020/02/07 15:23:59","0114",\N,\N
"DS2246","020120007","119","2020/01/28 08:35:29","0114",\N,\N
"DS2246","020120015","105","2020/01/28 08:35:29","0114",\N,\N
"DS2246","020120037","1000","2020/01/28 08:35:29","0114",\N,\N
